Product;Type;Month;Branch;Sales;Quantity;Visitors
Iced1kCoffee-Original;;01/01/25;Tabouk-Sultana Fran;9940.86708;1429;4289
ChocoChees bites;;01/01/25;Tabouk-Sultana Fran;2695.6515;310;4289
ADD CHOCOLATE d - .;;01/01/25;Tabouk-Sultana Fran;140.86953;81;4289
Add Pistachio d - .;;01/01/25;Tabouk-Sultana Fran;62.60868;36;4289
Cookies vanilla;;01/01/25;Tabouk-Sultana Fran;639.99984;92;4289
Choco Kunafa bites;;01/01/25;Tabouk-Sultana Fran;173.913;20;4289
Mini Pancake Cheese&Honey;;01/01/25;Tabouk-Sultana Fran;706.08678;58;4289
Coffee Latte M;;01/01/25;Tabouk-Sultana Fran;740.86938;71;4289
muffin chocolate;;01/01/25;Tabouk-Sultana Fran;148.69571;19;4289
iced caramel Mikatuo;;01/01/25;Tabouk-Sultana Fran;73.91305;5;4289
caramel Add d - .;;01/01/25;Tabouk-Sultana Fran;15.65217;9;4289
Iced Americano;;01/01/25;Tabouk-Sultana Fran;199.99995;23;4289
Oreo Frappe;;01/01/25;Tabouk-Sultana Fran;20.86956;2;4289
iced KarKade - L;;01/01/25;Tabouk-Sultana Fran;41.73912;3;4289
pudding;;01/01/25;Tabouk-Sultana Fran;864.34761;71;4289
vanilla ICE CREAM add d;;01/01/25;Tabouk-Sultana Fran;22.60869;13;4289
classic Mojito;;01/01/25;Tabouk-Sultana Fran;33.91305;3;4289
paper cup - 8oz;;01/01/25;Tabouk-Sultana Fran;3.47828;4;4289
Today Coffee M;;01/01/25;Tabouk-Sultana Fran;286.08712;47;4289
BlackCoffee-M;;01/01/25;Tabouk-Sultana Fran;4408.69962;1014;4289
Chocolate Mini Pancake;;01/01/25;Tabouk-Sultana Fran;5088.69438;418;4289
Cookies crispy;;01/01/25;Tabouk-Sultana Fran;2958.26013;189;4289
Iced Coffee latte;;01/01/25;Tabouk-Sultana Fran;65.2174;5;4289
Add Lotus;;01/01/25;Tabouk-Sultana Fran;39.99999;23;4289
Red Huawei;;01/01/25;Tabouk-Sultana Fran;45.2174;4;4289
Blue Huawei;;01/01/25;Tabouk-Sultana Fran;101.73915;9;4289
Macchiato Double;;01/01/25;Tabouk-Sultana Fran;60.86955;5;4289
Today Coffee cold L;;01/01/25;Tabouk-Sultana Fran;34.7826;5;4289
Box filter special coffee / clomibia;;01/01/25;Tabouk-Sultana Fran;46.95651;3;4289
Iced White Mocha - L;;01/01/25;Tabouk-Sultana Fran;34.7826;2;4289
iced Cascara;;01/01/25;Tabouk-Sultana Fran;12.17391;1;4289
iced Spanish latte - L;;01/01/25;Tabouk-Sultana Fran;86.9565;5;4289
iced today coffee R;;01/01/25;Tabouk-Sultana Fran;0;0;4289
Mineral water 600ml;;01/01/25;Tabouk-Sultana Fran;561.73899;323;4289
Black coffee XL;;01/01/25;Tabouk-Sultana Fran;1515.65304;249;4289
Iced White Mocha;;01/01/25;Tabouk-Sultana Fran;354.78264;24;4289
Flate white;;01/01/25;Tabouk-Sultana Fran;563.47812;54;4289
French Vanilla;;01/01/25;Tabouk-Sultana Fran;389.56512;32;4289
paper cup - 7OZ-2pcs;;01/01/25;Tabouk-Sultana Fran;14.78269;17;4289
Mocha M;;01/01/25;Tabouk-Sultana Fran;170.43474;14;4289
Affogato;;01/01/25;Tabouk-Sultana Fran;170.43474;14;4289
ADD Mojito Mix;;01/01/25;Tabouk-Sultana Fran;0;1;4289
Black Huawei;;01/01/25;Tabouk-Sultana Fran;33.91305;3;4289
Croissant-Cheese;;01/01/25;Tabouk-Sultana Fran;485.21758;62;4289
paper cup - 16oz;;01/01/25;Tabouk-Sultana Fran;3.47828;4;4289
Strawberry Mini Pancake;;01/01/25;Tabouk-Sultana Fran;60.86955;5;4289
Belgian Waffle;;01/01/25;Tabouk-Sultana Fran;13.91304;2;4289
Ice tea peach - L;;01/01/25;Tabouk-Sultana Fran;0;0;4289
Waffle chocolate;;01/01/25;Tabouk-Sultana Fran;0;0;4289
1k Play Card;;01/01/25;Tabouk-Sultana Fran;17.3913;1;4289
Hot Chocolate - M;;01/01/25;Tabouk-Sultana Fran;4591.30496;352;4289
cappuccino M;;01/01/25;Tabouk-Sultana Fran;1335.65184;128;4289
Saudi Coffee M;;01/01/25;Tabouk-Sultana Fran;139.13056;32;4289
Espresso - Single;;01/01/25;Tabouk-Sultana Fran;382.6086;55;4289
Crunchy;;01/01/25;Tabouk-Sultana Fran;1556.52135;179;4289
san sebastian Cheese Cake;;01/01/25;Tabouk-Sultana Fran;1643.47785;105;4289
Extra shot Espreso;;01/01/25;Tabouk-Sultana Fran;100.86954;58;4289
cappuccino L;;01/01/25;Tabouk-Sultana Fran;260.8696;20;4289
Moroccan Tea - cup;;01/01/25;Tabouk-Sultana Fran;52.17396;12;4289
White Mocha M;;01/01/25;Tabouk-Sultana Fran;182.60872;14;4289
coffee Latte L;;01/01/25;Tabouk-Sultana Fran;104.34784;8;4289
Today Coffee L;;01/01/25;Tabouk-Sultana Fran;556.5216;80;4289
Caramel Latte;;01/01/25;Tabouk-Sultana Fran;65.2174;5;4289
Honey cake;;01/01/25;Tabouk-Sultana Fran;16.52174;1;4289
كريمة;;01/01/25;Tabouk-Sultana Fran;0;0;4289
Thermos cup - 50%OFF - .;;01/01/25;Tabouk-Sultana Fran;0;0;4289
Today Coffee cold M;;01/01/25;Tabouk-Sultana Fran;6.08696;1;4289
Iced V60 coffee;;01/01/25;Tabouk-Sultana Fran;3492.17304;251;4289
Iced Spanish Latte;;01/01/25;Tabouk-Sultana Fran;1153.04358;78;4289
French coffee M;;01/01/25;Tabouk-Sultana Fran;477.39149;61;4289
karak Tea With Milk;;01/01/25;Tabouk-Sultana Fran;377.39152;62;4289
iced Matcha;;01/01/25;Tabouk-Sultana Fran;753.91311;51;4289
Iced Pistachio Latte;;01/01/25;Tabouk-Sultana Fran;147.8261;10;4289
1k Box - S;;01/01/25;Tabouk-Sultana Fran;208.69566;6;4289
Cold Brew 200gm;;01/01/25;Tabouk-Sultana Fran;469.5651;27;4289
Tea-steam M;;01/01/25;Tabouk-Sultana Fran;10.4348;4;4289
Chocolate sauce box;;01/01/25;Tabouk-Sultana Fran;15.65217;3;4289
Amricamo -XL;;01/01/25;Tabouk-Sultana Fran;20.86956;2;4289
Turkish Coffee - singl;;01/01/25;Tabouk-Sultana Fran;375.65232;48;4289
Americano - L;;01/01/25;Tabouk-Sultana Fran;139.1304;16;4289
Milk add;;01/01/25;Tabouk-Sultana Fran;8.69565;5;4289
KALITA;;01/01/25;Tabouk-Sultana Fran;0;0;4289
Spanish Latte - M;;01/01/25;Tabouk-Sultana Fran;1010.43453;83;4289
Espresso - Double;;01/01/25;Tabouk-Sultana Fran;438.26076;42;4289
sahlab with nuts;;01/01/25;Tabouk-Sultana Fran;991.3041;95;4289
Belgain choco Waffle;;01/01/25;Tabouk-Sultana Fran;373.91295;43;4289
Mini Pancake ice cream;;01/01/25;Tabouk-Sultana Fran;125.21736;9;4289
Iced French Vanilla;;01/01/25;Tabouk-Sultana Fran;73.91305;5;4289
Mojito strawberry;;01/01/25;Tabouk-Sultana Fran;45.2174;4;4289
ICED Chemex;;01/01/25;Tabouk-Sultana Fran;0;0;4289
Black Coffee - L;;01/01/25;Tabouk-Sultana Fran;2170.43424;416;4289
V60 coffee;;01/01/25;Tabouk-Sultana Fran;1984.34733;163;4289
chocolate Cookies;;01/01/25;Tabouk-Sultana Fran;424.34772;61;4289
Tiramisu Latte;;01/01/25;Tabouk-Sultana Fran;300.00004;23;4289
Turkish Coffee - Double;;01/01/25;Tabouk-Sultana Fran;440.00012;46;4289
Tea cup;;01/01/25;Tabouk-Sultana Fran;160.86971;37;4289
Iced KarKade;;01/01/25;Tabouk-Sultana Fran;657.39114;63;4289
cortado;;01/01/25;Tabouk-Sultana Fran;365.2173;35;4289
Mini Waffle;;01/01/25;Tabouk-Sultana Fran;104.34784;8;4289
Iced Tea Peach;;01/01/25;Tabouk-Sultana Fran;229.56516;22;4289
1k Box L;;01/01/25;Tabouk-Sultana Fran;173.91304;4;4289
Granola;;01/01/25;Tabouk-Sultana Fran;73.04346;7;4289
green tea- cub;;01/01/25;Tabouk-Sultana Fran;17.39132;4;4289
Fettu Waffle;;01/01/25;Tabouk-Sultana Fran;0;0;4289
Spanish Latte - L;;01/01/25;Tabouk-Sultana Fran;203.47821;13;4289
Vanilla Add;;01/01/25;Tabouk-Sultana Fran;5.21739;3;4289
Lemon-Mint;;01/01/25;Tabouk-Sultana Fran;26.08696;2;4289
Nuts Donut;;01/01/25;Tabouk-Sultana Fran;20.86956;3;4289
Matcha Latte;;01/01/25;Tabouk-Sultana Fran;69.5652;5;4289
Americano M;;01/01/25;Tabouk-Sultana Fran;173.913;25;4289
Orange juice;;01/01/25;Tabouk-Sultana Fran;52.17392;4;4289
Iced Mocha;;01/01/25;Tabouk-Sultana Fran;219.13038;18;4289
Add sauces mix;;01/01/25;Tabouk-Sultana Fran;55.65216;16;4289
hazelnuts Add d - .;;01/01/25;Tabouk-Sultana Fran;76.52172;44;4289
American1k- 250gm - .;;01/01/25;Tabouk-Sultana Fran;306.08688;16;4289
Donut Double Chocolate;;01/01/25;Tabouk-Sultana Fran;278.2608;40;4289
Croissant Plain;;01/01/25;Tabouk-Sultana Fran;54.78263;7;4289
Frappuccino - caramel;;01/01/25;Tabouk-Sultana Fran;146.08692;12;4289
Blue Mojito;;01/01/25;Tabouk-Sultana Fran;79.13045;7;4289
Macchiato;;01/01/25;Tabouk-Sultana Fran;177.39126;17;4289
saudi coffee L;;01/01/25;Tabouk-Sultana Fran;70.43481;9;4289
Box filter special coffee / Ethiobian;;01/01/25;Tabouk-Sultana Fran;31.30434;2;4289
Today Coffee;;01/01/25;Tabouk-Sultana Fran;0;0;4289
Iced1kCoffee-Original;;01/01/25;Tbouk-alBowady Fran;13871.30088;1994;5439
pudding;;01/01/25;Tbouk-alBowady Fran;523.47813;43;5439
ChocoChees bites;;01/01/25;Tbouk-alBowady Fran;2808.69495;323;5439
Cookies vanilla;;01/01/25;Tbouk-alBowady Fran;459.13032;66;5439
ADD CHOCOLATE d - .;;01/01/25;Tbouk-alBowady Fran;158.26083;91;5439
Iced Americano;;01/01/25;Tbouk-alBowady Fran;173.913;20;5439
Coffee Latte M;;01/01/25;Tbouk-alBowady Fran;594.78246;57;5439
iced KarKade - L;;01/01/25;Tbouk-alBowady Fran;250.43472;18;5439
paper cup - 8oz;;01/01/25;Tbouk-alBowady Fran;11.30441;13;5439
Mini Pancake Cheese&Honey;;01/01/25;Tbouk-alBowady Fran;194.78256;16;5439
vanilla ICE CREAM add d;;01/01/25;Tbouk-alBowady Fran;10.43478;6;5439
Oreo Frappe;;01/01/25;Tbouk-alBowady Fran;41.73912;4;5439
caramel Add d - .;;01/01/25;Tbouk-alBowady Fran;6.95652;4;5439
iced caramel Mikatuo;;01/01/25;Tbouk-alBowady Fran;147.8261;10;5439
muffin chocolate;;01/01/25;Tbouk-alBowady Fran;23.47827;3;5439
